frame,event_type,track_id,zone,cx,cy
5,entry,3,left,226,254
6,entry,6,left,246,253
9,entry,12,left,87,201
13,exit,6,left,253,252
13,entry,8,left,246,238
17,entry,13,left,94,202
18,entry,5,top,267,99
21,entry,11,top,653,87
22,exit,8,left,-7,285
23,entry,16,left,75,290
26,entry,17,left,26,282
27,exit,5,top,269,-10
27,exit,11,top,748,-4
74,entry,20,left,199,193
79,entry,21,left,218,292
98,exit,21,left,253,281
111,entry,6,left,238,284
113,exit,6,left,265,263
117,entry,21,left,237,289
123,entry,23,left,187,199
123,entry,24,left,134,220
148,entry,10,top,272,98
176,entry,26,top,493,99
180,exit,24,left,-2,263
187,entry,24,left,24,259
197,entry,27,left,234,263
201,exit,17,left,-2,196
210,exit,27,left,-9,362
219,exit,21,left,254,214
223,entry,21,left,239,205
234,entry,29,left,19,277
234,entry,30,left,13,278
257,entry,7,left,251,299
294,exit,21,left,276,199
322,entry,33,left,187,291
323,entry,34,left,177,249
323,entry,35,left,22,215
337,exit,7,left,-7,319
353,entry,39,left,120,254
373,entry,43,left,21,275
377,entry,40,top,349,97
392,exit,40,top,335,-4
393,exit,34,left,252,262
403,entry,45,left,209,205
416,entry,44,top,399,97
461,entry,47,left,38,302
506,entry,34,left,249,318
508,entry,1,top,279,97
532,entry,38,left,250,237
562,entry,48,top,271,96
571,entry,51,left,251,254
578,entry,54,top,278,90
579,entry,53,left,249,251
581,exit,54,top,278,104
581,entry,56,top,430,87
582,entry,57,left,127,90
582,entry,57,top,127,90
583,entry,55,top,558,84
585,entry,54,left,251,113
585,entry,58,top,439,88
587,entry,59,top,449,87
587,entry,61,top,592,87
588,exit,61,top,576,102
589,entry,60,top,282,91
591,entry,61,top,570,84
592,entry,54,top,250,95
596,entry,62,left,244,114
598,entry,63,left,114,92
598,entry,63,top,114,92
599,exit,54,left,270,109
599,exit,54,top,270,109
600,entry,62,top,212,95
604,entry,54,left,251,98
604,entry,54,top,251,98
606,exit,58,top,559,111
608,exit,54,top,250,104
608,exit,57,left,-5,98
608,exit,57,top,-5,98
610,entry,58,top,561,94
611,entry,57,left,10,92
611,entry,57,top,10,92
611,exit,63,left,253,87
612,entry,54,top,237,96
616,exit,61,top,482,101
620,exit,54,top,202,112
620,exit,57,left,-1,94
620,exit,57,top,-1,94
620,entry,64,left,235,99
620,entry,64,top,235,99
624,exit,62,left,48,-4
624,exit,62,top,48,-4
624,exit,64,top,228,100
628,entry,54,top,110,93
640,exit,59,top,461,102
640,entry,64,top,209,99
641,entry,59,top,424,98
641,entry,61,top,352,87
642,entry,65,left,251,109
646,exit,64,top,207,101
650,exit,63,top,691,-3
653,entry,66,top,611,75
663,exit,59,top,337,115
663,entry,65,top,236,94
669,entry,67,top,490,47
671,exit,54,top,214,106
677,exit,60,top,310,100
678,entry,61,left,248,87
680,exit,54,left,253,120
681,exit,61,left,258,94
684,entry,60,top,331,93
684,exit,61,top,252,101
685,entry,61,left,250,103
686,entry,68,left,26,93
686,entry,68,top,26,93
686,entry,69,left,65,92
686,entry,69,top,65,92
691,entry,61,top,239,99
694,entry,54,top,279,99
698,exit,66,top,593,103
699,exit,58,top,381,100
699,entry,66,top,591,97
699,entry,70,top,382,74
700,entry,58,top,382,98
701,exit,54,top,261,100
701,exit,60,top,513,100
701,exit,68,top,55,110
702,exit,66,top,586,101
704,entry,54,top,260,98
705,entry,60,top,517,92
706,entry,71,top,484,59
707,entry,54,left,250,99
708,entry,59,left,250,121
709,exit,54,top,245,100
710,entry,68,top,128,91
713,exit,61,top,195,101
716,exit,58,top,344,100
717,entry,58,top,343,99
718,exit,58,top,343,100
719,entry,66,top,568,99
720,exit,66,top,563,100
724,entry,58,top,332,99
725,exit,58,top,329,100
725,entry,66,top,557,96
726,entry,58,top,327,99
726,exit,69,left,255,92
727,exit,66,top,555,100
729,exit,68,left,253,78
731,exit,58,top,322,100
731,entry,72,top,630,98
732,entry,58,top,322,85
733,entry,69,left,250,94
734,exit,69,left,255,95
736,entry,61,top,127,97
736,exit,72,top,624,100
743,entry,66,top,532,99
744,entry,72,top,605,90
747,entry,54,top,221,94
748,exit,72,top,592,101
752,exit,61,top,133,152
752,entry,73,top,628,79
755,exit,54,left,253,89
757,exit,60,top,434,100
764,exit,54,top,271,102
771,entry,60,top,424,97
771,entry,61,top,75,97
773,exit,60,top,422,100
773,exit,66,top,474,108
774,exit,73,top,548,103
776,entry,73,top,557,90
777,entry,54,left,251,106
778,entry,72,top,619,82
780,entry,66,top,456,99
782,exit,66,top,454,101
785,entry,60,top,408,99
787,entry,54,top,245,99
787,exit,60,top,404,101
790,entry,60,top,400,99
791,exit,72,top,604,102
794,entry,72,top,624,86
795,entry,66,top,504,84
798,exit,60,top,385,100
800,entry,60,top,372,99
801,exit,60,top,379,101
802,entry,60,top,352,99
802,exit,69,top,389,103
803,entry,69,top,422,92
806,exit,60,top,342,100
808,exit,73,top,581,101
810,exit,54,left,279,140
810,exit,54,top,279,140
810,exit,69,top,408,105
811,entry,73,top,581,99
812,exit,73,top,582,100
820,entry,74,left,213,149
822,entry,69,top,410,86
822,entry,73,top,555,88
827,entry,54,top,328,98
827,entry,75,top,561,83
843,exit,58,top,438,100
844,entry,58,top,435,99
845,exit,72,top,472,100
851,exit,58,top,423,100
858,exit,66,top,391,100
862,exit,69,top,333,154
863,exit,73,top,497,115
905,exit,54,top,553,100
908,entry,54,top,544,97
916,entry,76,top,306,95
930,entry,76,left,242,94
931,exit,76,left,253,95
935,entry,77,left,225,95
935,entry,77,top,225,95
936,entry,78,top,454,91
936,entry,79,top,579,92
947,entry,80,left,117,100
951,exit,77,top,130,102
951,exit,78,top,277,100
951,entry,80,top,41,92
954,entry,78,left,239,102
956,entry,77,top,71,88
958,entry,78,top,121,94
959,exit,80,left,-6,88
959,exit,80,top,-6,88
962,exit,77,top,45,107
965,entry,81,top,524,89
972,entry,77,top,18,97
975,entry,76,left,246,91
976,exit,77,top,12,108
977,exit,78,top,128,110
977,entry,82,left,163,79
977,entry,82,top,163,79
980,entry,83,top,414,92
981,exit,77,left,-3,120
981,entry,78,top,74,97
982,exit,82,top,140,113
983,exit,76,top,163,108
984,entry,76,top,167,98
985,entry,54,left,249,89
999,entry,82,top,33,96
1003,entry,83,left,245,100
1003,exit,83,top,245,100
1005,exit,82,left,-4,89
1005,exit,82,top,-4,89
1007,exit,78,left,-2,95
1007,exit,78,top,-2,95
1008,entry,84,top,297,87
1011,entry,85,top,285,90
1013,entry,83,top,190,94
1016,exit,84,top,310,116
1019,exit,76,left,-4,95
1019,exit,76,top,-4,95
1019,exit,83,top,171,101
1019,entry,85,left,250,90
1023,exit,54,top,105,109
1023,entry,76,left,47,96
1023,entry,76,top,47,96
1023,entry,86,left,167,105
1025,exit,76,top,62,106
1026,entry,78,left,26,105
1031,exit,85,top,206,103
1038,entry,85,top,178,91
1042,entry,54,top,139,91
1044,entry,81,left,248,92
1070,exit,54,top,201,130
1071,exit,81,top,157,107
1072,entry,81,top,166,94
1074,entry,83,top,70,95
1088,exit,81,top,199,120
1088,entry,87,top,619,90
1088,entry,88,left,180,120
1090,entry,78,top,49,91
1092,exit,83,top,82,105
1100,entry,89,top,617,89
1103,exit,85,top,129,102
1113,entry,76,top,63,91
1131,exit,76,top,83,117
1132,exit,87,top,424,100
1139,entry,90,top,547,94
1140,entry,83,top,170,99
1146,entry,85,top,234,97
1151,exit,78,top,54,113
1151,entry,91,top,573,94
1152,exit,85,top,247,100
1153,entry,85,top,247,99
1154,exit,83,top,139,110
1154,entry,84,top,261,98
1156,exit,89,top,322,100
1157,entry,92,top,435,94
1162,entry,81,top,213,99
1167,exit,90,top,300,101
1173,entry,90,left,250,107
1174,exit,81,left,253,91
1175,exit,92,top,433,183
1177,exit,91,top,571,172
1180,entry,98,left,45,182
1209,exit,83,left,256,169
1211,entry,101,left,164,199
1235,entry,103,left,151,203
1257,exit,88,left,253,155
1307,exit,98,left,-1,210
1321,entry,106,top,769,98
1340,exit,101,left,-1,239
1360,entry,101,left,30,178
1363,entry,110,left,178,175
1406,entry,112,left,155,172
1437,exit,101,left,-2,209
1440,entry,101,left,8,199
1440,entry,114,left,9,181
1445,exit,101,left,-3,199
1474,entry,115,left,155,174
1474,entry,116,left,22,182
1492,entry,119,left,7,202
1499,entry,93,left,251,196
1531,exit,115,left,-1,181
1591,entry,121,left,251,168
1626,entry,117,left,251,176
1639,exit,121,left,-1,184
1639,entry,124,left,115,178
1640,entry,121,left,34,184
1666,exit,124,left,-2,174
1671,entry,124,left,70,180
1681,entry,88,left,222,176
1695,exit,121,left,257,175
1696,exit,124,left,-1,176
1698,entry,121,left,214,176
1703,entry,124,left,64,181
1706,entry,127,left,134,183
1714,entry,123,left,251,169
1715,exit,123,left,286,172
1726,entry,120,top,809,98
1731,entry,123,left,230,177
1753,entry,118,left,245,170
1756,entry,104,left,245,161
1768,exit,123,left,-2,192
1768,exit,124,left,-1,208
1769,entry,130,left,251,190
1772,exit,104,left,-11,189
1783,entry,125,left,251,197
1788,exit,117,left,-2,176
1791,entry,117,left,24,178
1800,entry,134,left,245,171
1811,exit,117,left,-1,180
1839,exit,134,left,281,182
1853,entry,139,left,150,176
1865,entry,128,left,225,179
1901,entry,134,left,220,178
1916,entry,141,left,7,207
1929,entry,133,left,227,177
1930,entry,129,left,237,179
1943,exit,93,left,-1,202
1947,entry,122,left,251,178
1949,entry,93,left,15,184
1951,exit,122,left,252,178
1955,entry,122,left,250,178
1975,exit,139,left,252,178
2012,exit,122,left,252,176
2018,entry,122,left,229,184
2027,exit,122,left,272,175
2032,exit,129,left,252,175
2033,entry,129,left,244,176
2038,exit,129,left,260,174
2049,entry,122,left,194,175
2049,entry,144,left,214,183
2053,entry,129,left,251,173
2056,exit,130,left,-3,182
2057,entry,130,left,17,182
2062,entry,138,left,219,183
2086,entry,126,left,251,173
2090,exit,93,left,-1,171
2091,entry,135,left,251,178
2095,exit,130,left,-1,195
2097,entry,132,left,250,186
2099,exit,122,left,-3,184
2127,entry,139,left,247,168
2137,entry,147,left,196,163
2140,entry,143,left,251,179
2141,exit,143,left,271,163
2147,entry,143,left,246,150
2153,entry,150,left,182,149
2158,exit,139,left,-3,186
2164,exit,147,left,-3,108
2187,entry,145,top,263,99
2190,exit,150,left,261,153
2191,exit,143,left,262,166
2192,entry,145,left,225,161
2192,exit,145,top,225,161
2197,entry,149,left,246,163
2233,entry,152,left,228,160
2251,entry,153,left,26,215
2268,exit,152,left,276,177
2277,exit,153,left,257,146
2314,entry,157,top,400,98
2325,entry,155,left,249,160
2343,entry,159,left,224,160
2352,entry,160,left,25,213
2358,exit,155,left,-2,160
2394,entry,158,left,250,158
2403,entry,154,left,250,145
2404,entry,163,left,22,176
2406,entry,161,left,250,153
2422,exit,160,left,252,150
2422,exit,163,left,263,183
2448,entry,162,left,249,181
2477,entry,164,left,243,175
2497,exit,164,left,-1,119
2498,entry,166,left,233,170
2499,entry,165,bottom,715,577
2508,entry,167,left,204,165
2509,entry,168,left,31,89
2509,entry,168,top,31,89
2525,exit,168,top,62,156
2526,exit,167,left,255,179
2528,entry,167,left,248,177
2530,exit,167,left,266,178
2534,entry,170,left,42,255
2552,entry,173,left,250,160
2554,exit,166,left,252,149
2560,exit,168,left,-1,188
2561,exit,173,left,252,161
2563,entry,169,top,411,67
2563,entry,173,left,235,244
2563,entry,174,left,96,176
2564,entry,178,left,245,100
2564,entry,179,top,607,71
2565,entry,178,top,245,99
2565,entry,181,left,96,175
2565,entry,182,top,409,61
2565,entry,183,top,545,23
2566,entry,184,top,273,45
2567,entry,185,left,200,113
2568,entry,186,top,370,34
2568,entry,187,left,79,29
2568,entry,187,top,79,29
2569,entry,188,left,39,62
2569,entry,188,top,39,62
2570,entry,171,right,1428,168
2570,entry,189,left,236,233
2570,entry,190,top,409,60
2570,entry,191,top,306,46
2570,entry,192,left,130,22
2570,entry,192,top,130,22
2570,entry,193,left,248,15
2570,entry,193,top,248,15
2570,entry,194,left,122,187
2578,entry,195,top,289,41
2578,entry,196,top,408,55
2583,entry,197,top,578,85
2584,exit,193,top,192,100
2587,entry,198,top,395,57
2594,entry,199,top,582,75
2605,exit,169,top,316,100
2606,entry,200,left,6,50
2606,entry,200,top,6,50
2610,entry,201,left,200,102
2612,entry,177,top,536,98
2612,exit,197,top,590,101
2618,exit,179,top,622,100
2638,entry,203,top,340,98
2639,entry,204,left,140,191
2642,exit,203,top,340,100
2645,entry,206,left,4,194
2650,entry,207,left,235,351
2650,entry,208,top,555,33
2653,exit,191,top,342,100
2656,entry,166,top,255,99
2659,entry,191,top,341,99
2660,exit,191,top,341,100
2666,exit,199,top,598,100
2670,entry,166,left,251,91
2680,entry,210,left,83,14
2680,entry,210,top,83,14
2689,entry,172,top,399,99
2696,exit,166,left,289,58
2699,entry,203,top,301,57
2700,entry,212,left,240,23
2700,entry,212,top,240,23
2702,entry,189,top,238,98
2708,exit,186,top,382,100
2710,entry,213,top,582,77
2713,entry,199,top,595,76
2716,exit,199,top,632,100
2718,entry,215,left,244,266
2718,entry,216,left,156,184
2718,entry,217,left,139,192
2735,entry,218,top,465,26
2741,entry,160,top,531,99
2754,entry,219,left,3,212
2761,exit,213,top,589,100
2791,entry,209,top,364,99
2795,exit,166,top,309,100
2843,entry,221,left,139,185
2848,entry,205,top,420,99
2854,entry,202,top,349,99
2861,entry,223,top,423,21
2879,exit,200,left,252,16
2880,entry,225,top,493,23
2880,entry,226,top,613,52
2880,entry,227,top,411,11
2891,entry,229,top,611,47
2893,entry,207,top,244,99
2903,exit,182,top,631,107
2903,entry,230,top,631,61
2908,entry,231,left,5,116
2914,entry,233,left,10,223
2920,entry,182,top,630,72
2930,entry,235,top,573,37
2938,exit,207,left,252,74
2945,exit,210,top,58,100
2945,entry,236,left,138,185
2962,entry,239,left,158,178
2978,entry,238,top,623,99
2992,exit,160,top,361,-1
3002,exit,236,left,253,123
3005,entry,236,left,192,159
3040,entry,241,left,175,162
3045,entry,242,left,175,162
3063,entry,243,left,67,152
3158,entry,247,left,33,207
3184,exit,236,left,259,204
3195,entry,211,left,201,175
3199,exit,211,left,254,202
3200,entry,211,left,212,182
3226,entry,249,left,250,199
3241,exit,211,left,260,204
3242,entry,251,left,192,170
3266,entry,211,left,251,213
3279,entry,253,left,248,212
3279,entry,254,left,104,217
3282,exit,211,left,299,217
3286,entry,255,left,243,217
3287,exit,255,left,303,215
3289,entry,257,left,243,213
3291,exit,257,left,273,203
